[14:48:38] <FROM=HAB#TO=AS#TEXT=Hello#>
[14:48:41] <FROM=HAB#TO=AS#TEXT=hello#>
[14:48:50] <FROM=HAB#TO=AS#TEXT=do you get it?#>
[14:49:49] <FROM=HAB#TO=AS#TEXT=fsxgfcgvnm#>
[14:50:18] <FROM=HAB#TO=AS#TEXT=hvbnkbbn#>
[14:50:22] <FROM=HAB#TO=AS#TEXT=aaaa1#>
[14:50:28] <FROM=HAB#TO=AS#TEXT=bbbbb1#>
[14:50:37] <FROM=HAB#TO=AS#TEXT=cccc1#>
[14:50:54] <FROM=HAB#TO=AS#TEXT=dddd1#>
[14:51:06] <FROM=HAB#TO=AS#TEXT=eeee1#>
[14:54:06] <FROM=HAB#TO=AS#TEXT=super#>
[14:54:12] <FROM=HAB#TO=AS#TEXT=czemu to nie dziala#>
[14:54:56] <FROM=HAB#TO=AS#TEXT=hi#>
[14:55:08] <FROM=HAB#TO=AS#TEXT=can you hear me#>
[14:55:53] <FROM=HAB#TO=AS#TEXT=i got some points#>
[14:56:24] <FROM=HAB#TO=AS#TEXT=i see you near entrance#>
[14:56:43] <FROM=HAB#TO=AS#TEXT=but i dont get ack#>
[14:57:29] <FROM=HAB#TO=AS#TEXT=aaaaa#>
[14:57:38] <FROM=HAB#TO=AS#TEXT=bbbb#>
[14:57:54] <FROM=HAB#TO=AS#TEXT=cccc#>
[14:58:04] <FROM=HAB#TO=AS#TEXT=dddd#>
[14:58:37] <FROM=HAB#TO=AS#TEXT=eee#>
[14:58:41] <FROM=HAB#TO=AS#TEXT=fffff#>
[14:58:51] <FROM=HAB#TO=AS#TEXT=gggg#>
[14:58:59] <FROM=HAB#TO=AS#TEXT=hhhhh#>
[14:59:10] <FROM=HAB#TO=AS#TEXT=iiii#>
[14:59:20] <FROM=HAB#TO=AS#TEXT=jjjjj#>
[14:59:34] <FROM=HAB#TO=AS#TEXT=kkkk#>
[14:59:40] <FROM=HAB#TO=AS#TEXT=llll#>
[14:59:51] <FROM=HAB#TO=AS#TEXT=mmmm#>
[14:59:56] <FROM=HAB#TO=AS#TEXT=nnnn#>
[15:00:09] <FROM=HAB#TO=AS#TEXT=oooooo#>
[15:00:23] <FROM=HAB#TO=AS#TEXT=pppp#>
[15:00:31] <FROM=HAB#TO=AS#TEXT=qqqq#>
[15:00:36] <FROM=HAB#TO=AS#TEXT=#>
[15:00:41] <FROM=HAB#TO=AS#TEXT=rrrrr#>
[15:04:49] <FROM=HAB#TO=AS#TEXT=aaaa#>
